"Nom_bibliotheque","PC1","PC2"
"Trent Hills",0.612174102204354,1.11599904062918
"Trent Lakes",-0.585574439012539,1.12910728352207
"Tudor & Cashel Twp",-2.90690701076417,0.834118518604228
"Tweed",-0.796369378006527,-0.568954174505171
"Tyendinaga Twp",-1.38705128254637,-0.520307863105112
"Uxbridge Twp",0.394368445404358,-0.200077571630047
"Vaughan",4.23093089843544,0.147730237035305
"Wainfleet Twp",-0.738098175178341,-0.0783752993076996
"Wasaga Beach",-0.252923339068947,-0.0103772720840951
"Waterloo City",2.2262940403562,0.481464352849082
"Waterloo Region",2.5494122035206,-0.01083618359523
"Wawa",-1.56980778414715,-0.944759889337553
"Welland",1.72425249103977,-0.093382255207135
"Wellington County",3.84860106170243,0.162590265385123
"West Grey Twp",0.291810800069534,-1.41526067697617
"West Lincoln Twp",0.911131488578956,-1.44722111240333
"West Nipissing",1.11334457914056,0.000201058409250596
"West Perth",-0.239678961492488,0.202938726016276
"Westport",-2.06879055178623,1.15961671988078
"Whitby",1.98771404394884,0.453870437221023
"Whitchurch-Stouffville",0.3416688765194,0.80081523490288
"White River Twp",-2.13954876573728,0.488166000280254
"Whitefish River FN",-1.47501236391806,0.079736617320022
"Whitestone-Hagerman Memorial",-1.69275512198242,1.38557068062712
"Whitewater Region",-0.318662522723116,0.409971358960502
"Windsor",3.70330166335087,0.726953392939718
"Wollaston",-2.38019860014226,0.849420191936886
"Woodstock",0.377669444310118,-0.068984527745017
